case_id,activity,timestamp,actor,system
INV-4000,Verify invoice against purchase order,2025-03-03T09:20:00,clerk0@corp.com,SAP
INV-4000,Match line items,2025-03-03T09:32:00,clerk0@corp.com,Coupa
INV-4000,Record verification result,2025-03-03T09:45:00,clerk0@corp.com,SAP
INV-4000,Correct mismatched line,2025-03-03T09:54:00,clerk0@corp.com,SAP
INV-4001,Verify invoice against purchase order,2025-03-03T12:03:00,clerk1@corp.com,SAP
INV-4001,Match line items,2025-03-03T12:17:00,clerk1@corp.com,Coupa
INV-4001,Record verification result,2025-03-03T12:19:00,clerk1@corp.com,SAP
INV-4002,Invoice / PO verification,2025-03-03T15:23:00,clerk2@corp.com,SAP
INV-4002,Match line items,2025-03-03T15:29:00,clerk2@corp.com,Coupa
INV-4002,Record verification result,2025-03-03T15:46:00,clerk2@corp.com,SAP
INV-4003,Verify invoice against purchase order,2025-03-03T18:13:00,clerk3@corp.com,SAP
INV-4003,Match line items,2025-03-03T18:20:00,clerk3@corp.com,Coupa
INV-4003,Record verification result,2025-03-03T18:34:00,clerk3@corp.com,SAP
INV-4004,Verify invoice against purchase order,2025-03-03T21:26:00,clerk0@corp.com,SAP
INV-4004,Match line items,2025-03-03T21:35:00,clerk0@corp.com,Coupa
INV-4004,Record verification result,2025-03-03T21:42:00,clerk0@corp.com,SAP
INV-4005,verify invoice vs PO,2025-03-04T00:35:00,clerk1@corp.com,SAP
INV-4005,Match line items,2025-03-04T00:41:00,clerk1@corp.com,Coupa
INV-4005,Record verification result,2025-03-04T00:59:00,clerk1@corp.com,SAP
INV-4006,Verify invoice against purchase order,2025-03-04T03:07:00,clerk2@corp.com,SAP
INV-4006,Match line items,2025-03-04T03:13:00,clerk2@corp.com,Coupa
INV-4006,Record verification result,2025-03-04T03:31:00,clerk2@corp.com,SAP
INV-4007,verify invoice vs PO,2025-03-04T06:37:00,clerk3@corp.com,SAP
INV-4007,Match line items,2025-03-04T06:43:00,clerk3@corp.com,Coupa
INV-4007,Record verification result,2025-03-04T06:55:00,clerk3@corp.com,SAP
INV-4008,Invoice / PO verification,2025-03-04T09:02:00,clerk0@corp.com,SAP
INV-4008,Match line items,2025-03-04T09:10:00,clerk0@corp.com,Coupa
INV-4008,Record verification result,2025-03-04T09:21:00,clerk0@corp.com,SAP
INV-4009,Verify invoice against purchase order,2025-03-04T12:26:00,clerk1@corp.com,SAP
INV-4009,Match line items,2025-03-04T12:40:00,clerk1@corp.com,Coupa
INV-4009,Record verification result,2025-03-04T12:42:00,clerk1@corp.com,SAP
INV-4010,verify invoice vs PO,2025-03-04T15:36:00,clerk2@corp.com,SAP
INV-4010,Match line items,2025-03-04T15:50:00,clerk2@corp.com,Coupa
INV-4010,Record verification result,2025-03-04T16:01:00,clerk2@corp.com,SAP
